id;event_date;round;venue;score
1;2020-02-02;transmitter;Point Orchestrator;Solomon Islands Licensed
2;2020-02-01;installation;Argentine Peso;Kentucky Algerian Dinar Clothing
3;2020-02-02;Future-proofed deposit Sausages;disintermediate Cambridgeshire hacking;bricks-and-clicks Concrete Global
4;2020-02-01;Enhanced deposit parsing;Borders content-based;Tasty Customer Human
5;2020-02-01;B2B;Saint Helena Pound programming;AI optical invoice
6;2020-02-02;Cheese Dynamic Home Loan Account;transform;invoice Home Gloves
7;2020-02-02;Cayman Islands Dollar invoice;Fish;Networked
8;2020-02-02;navigate;program alarm;Nevada
9;2020-02-02;turn-key dedicated;Wisconsin;target Human withdrawal
10;2020-02-01;Borders North Dakota;CSS Re-contextualized;local Shoes
