id;name;logo;venue_name;venue_city
1;capacitor archive;sky blue Tasty Plastic Pizza;compress South Georgia and the South Sandwich Islands;compelling mission-critical
2;bifurcated scalable;Small;deliverables reinvent 24 hour;overriding
3;monitor 1080p Checking Account;world-class Frozen IB;Highway Ergonomic;moratorium moratorium
4;New York tangible Mississippi;Frozen bus;hard drive Robust Networked;Poland
5;Small partnerships;Outdoors;Harbor Montana;Corporate Phased relationships
6;white Brand Money Market Account;Salad Web virtual;Refined Squares;maroon
7;EXE projection Fresh;support Gorgeous;withdrawal;copying
8;ability Hat Iraq;magenta Concrete;User-centric Gloves;Mauritania
9;facilitate Tasty Concrete Chips Exclusive;Buckinghamshire capability zero tolerance;mission-critical;Berkshire Small Plastic Pants Investor
10;Canadian Dollar;Berkshire Designer;Credit Card Account;navigate
