id;name;start;end
1;Intelligent Frozen Sausages Villages;2020-02-02;2020-02-01
2;out-of-the-box Automotive Tactics;2020-02-02;2020-02-02
3;Wisconsin Facilitator Incredible;2020-02-02;2020-02-02
4;compressing;2020-02-02;2020-02-02
5;mesh;2020-02-02;2020-02-01
6;UIC-Franc Arkansas Intelligent;2020-02-01;2020-02-01
7;intuitive Open-architected system-worthy;2020-02-02;2020-02-01
8;Belize Dollar Sudanese Pound real-time;2020-02-02;2020-02-02
9;schemas Synergistic Personal Loan Account;2020-02-02;2020-02-02
10;Borders;2020-02-01;2020-02-02
